Date,USGG10YR Index  (R1),GDGCAFJP Index  (L1)
2018-06-01,2.9022,4.844
2018-06-04,2.9424,4.548
2018-06-05,2.9277,4.567
2018-06-06,2.9717,4.49
2018-06-08,2.9461,4.557
2018-06-12,2.9608,4.631
2018-06-13,2.9663,4.589
2018-06-14,2.9351,4.804
2018-06-15,2.9205,4.602
2018-06-19,2.8967,4.709
2018-06-20,2.9389,4.679
2018-06-25,2.8803,4.624
2018-06-27,2.8256,4.482
2018-06-29,2.8601,3.834
2018-07-02,2.8711,4.086
2018-07-03,2.8309,3.984
2018-07-05,2.8291,3.915
2018-07-06,2.8217,3.838
2018-07-11,2.8491,3.896
2018-07-12,2.8454,4.169
2018-07-13,2.8271,4.183
2018-07-16,2.8582,4.532
2018-07-17,2.86,4.531
2018-07-18,2.8692,4.513
2018-07-23,2.9541,4.494
2018-07-25,2.9746,4.412
2018-07-26,2.9764,3.822
2018-07-31,2.9598,4.686
2018-08-01,3.0064,4.951
2018-08-02,2.9859,4.929
2018-08-03,2.9488,4.37
2018-08-09,2.9258,4.324
2018-08-10,2.8732,4.388
2018-08-14,2.8985,4.391
2018-08-15,2.8623,4.32
2018-08-16,2.8659,4.254
2018-08-22,2.8189,4.267
2018-08-23,2.8261,4.416
2018-08-24,2.8098,4.593
2018-08-28,2.8804,4.097
2018-08-30,2.855,4.081
2018-09-04,2.8985,4.657
2018-09-05,2.9022,4.356
2018-09-06,2.8731,4.276
2018-09-07,2.9388,3.82
2018-09-11,2.9755,3.783
2018-09-12,2.9626,3.803
2018-09-13,2.97,3.897
2018-09-14,2.9959,4.426
2018-09-19,3.0626,4.447
2018-09-20,3.0626,4.414
2018-09-26,3.048,4.437
2018-09-27,3.0518,3.83
2018-09-28,3.0612,3.627
2018-10-01,3.0836,4.082
2018-10-03,3.1813,4.127
2018-10-04,3.187,4.071
2018-10-05,3.2328,4.084
2018-10-10,3.1629,4.195
2018-10-11,3.1498,4.198
2018-10-12,3.1613,4.222
2018-10-15,3.1557,4.004
2018-10-16,3.1633,3.847
2018-10-17,3.205,3.851
2018-10-19,3.1921,3.81
2018-10-24,3.1035,3.745
2018-10-25,3.1167,3.554
2018-10-29,3.0849,2.647
2018-11-01,3.1303,2.964
2018-11-02,3.2121,2.899
2018-11-05,,
2018-11-09,3.1819,2.897
2018-11-13,3.1397,2.906
2018-11-14,3.125,2.907
2018-11-15,3.1103,2.755
2018-11-16,3.0628,2.617
2018-11-20,3.0628,2.458
2018-11-21,3.0627,2.491
2018-11-29,3.0298,2.621
2018-12-03,2.9697,2.8
